ID	name_txt
2753027	Lophophelma costistrigaria
2612256	unclassified Parastasia
559868	Bythinella bavarica
1609539	Viburnum lasiophyllum
2622823	unclassified Dicopus
160166	Neohaematopinus sciuri
141169	Liparthrum nigrescens
286418	Ochrolechia juvenalis
264150	Canthigaster coronata
127832	Pisidium compressum
577032	Cleistanthus concinnus
282286	Chione elevata
148708	Mimosa aculeaticarpa
477136	Miconia striata
2039495	Salvia albocaerulea
2647472	unclassified Amphitritides
341072	Haliotrema johnstoni
1572345	Challengeron willemoesii
119214	H7N2 subtype
1552678	Eragenia oliva
443770	Urolophus sufflavus
1529961	Solenostoma sanguinolentum
401968	Halopteris carinata
535298	Capoeta kosswigi
488206	Aulacorhynchus haematopygus
2770610	Stalitella noseki
2780528	Uromyces tripogonicola
72060	Sebastes brevispinis
1632463	bacterium YC-LKJ62
331366	Agonum palustre
2646881	unclassified Pterombrus
539167	Indigofera superba
105485	Leucostoma cinctum
545520	Norovirus Hu/GII-4/Jeju-22/2007/KOR
76374	Pachystachys lutea
1653462	Trapezodirus altimontanus
56324	Lanius collurio
2634828	unclassified Octochaetus
538618	Trypanosoma copemani
307165	Selaginella uncinata
86308	Artemisia bigelovii
177274	Discorsopagurus schmitti
74941	Hantavirus CRF110
471834	Aspicilia epiglypta
95361	Sarcothalia crassifolia
2547791	unclassified Oophila
73181	Pelargonium auritum
2569587	Carcinomyces nordestinensis
1653091	Simulium iriartei
638678	Monolistra spinosa
271935	Dendrorycter marmaroides
2614438	Candidatus Magnetaquicoccaceae
449024	Aspalathus villosa
86152	Veronica annulata
1775135	Streptomyces boluensis
1964006	Laparocerus impressicollis
2547513	Aristolochia hyperxantha
2641976	unclassified Coniopteryx
2639583	unclassified Carbonea
1959940	Norovirus GII/Hu/KH/2004-2006/GII.P16_GII.16/NP-234_3
551472	Norovirus Hu/GII.4/PA135R-/2004/IT
31175	Diadema setosum
1620498	Trianthema ceratosepalum
181640	Yuhina occipitalis
2628539	unclassified Loxoblemmus
350231	Maxillaria fritzii
254396	Monilinia mali
2618613	unclassified Sasajiella
165714	Actinidia melliana
178444	Rhizopogon melanogastroides
2684217	unclassified Libengaia
516760	Eufriesea rugosa
508252	Lebeckia plukenetiana
463340	Mallotus tiliifolius
610387	Heteroponera dolo
2629339	unclassified Ahamulina
574508	bacterium GD2
183843	Eucalyptus pachyphylla
53238	Lupinus bicolor
59687	Sardinops neopilchardus
223058	Neobuxbaumia mezcalaensis
279657	Fritillaria affinis
2753984	Simplicia discosticta
2751821	unclassified Pseudodistoma
2640119	unclassified Xenillus
2576058	Geosiris australiensis
468750	Leptarthrus brevirostris
695750	Radosa ordinata
369609	Pachyramphus validus
284988	Papilio grosesmithi
2607348	unclassified Cnemoplites
2633297	unclassified Ecclinusa
372564	Monodelphis peruviana
651650	Isatis stocksii
2618520	unclassified Malacosteus
116790	Buellia alboatra
1969154	Enterosora goodmanii
2732958	Morchella mediterraneensis
555271	Leptasthenura fuliginiceps
13591	Leucopogon fraseri
2637565	unclassified Protochelifer
2011693	unclassified Filobasidiaceae
104064	Limnodynastes dorsalis
2619927	unclassified Gallacea
2613137	Oceanella vitiensis
2754791	Leptocyphon furcalonga
369907	Gyrodactylus brachymystacis
241502	Asplenium chathamense
1565082	Arnebia tubata
149536	Diplodon chilensis
652915	Saron neglectus
1714549	Snellenius warrenwagneri
346476	Australicapitona australasiae
416093	Cissus aralioides
2748264	Heteragrion majus
2628102	unclassified Mycopsylla
393601	Rhinolophus yunnanensis
1557498	Glyphipterix gypsonota
2576	Plasmid pIP816
172071	Zeltnera pusilla
2599716	Ophiorrhiza winkleri
1679346	Macaranga rosuliflora
330551	Bothriochloa grahamii
208720	Hyacinthus litwinowii
104782	Adineta vaga
531795	Norovirus sewage/GI/Toyama/Jan-P2/2008/JP
2628032	unclassified Orochernes
257207	bacterium DR2A-7G24
1632637	bacterium YC-ZSS-LKJ56
2648907	unclassified Sindechites
229371	Conocybe coprophila
1548847	Gamochaeta alpina
591760	Ixora scheffleri
676798	Leucocroton virens
456503	Thoropa taophora
2685661	unclassified Philophthalmus
86918	Mylocheilus caurinus
91198	Allium macrostemon
2632922	unclassified Semibalanus
472635	Norovirus Hu/NoV/15/2003/SE
2644376	unclassified Loweporus
224349	Rhododendron tosaense
2640555	unclassified Polycope
